DATHOUR,consumer_price,supplier_price,consumer_volume,supplier_volume
2014-01-01,996.8445833333334,951.3629166666666,2011320.501,2073929.649
2014-01-02,1068.0816666666667,1017.0516666666666,2057447.4,2120605.3
2014-01-03,1140.90125,1090.4337500000004,2113464.462,2176920.736
2014-01-04,1108.960416666667,1058.9262499999998,2131062.532,
2014-01-05,1057.9425,1009.3870833333334,2120695.699,2184452.393
2014-01-06,1075.6558333333337,1026.3524999999995,2124011.7920000004,2188372.242
2014-01-07,1033.02875,,2104058.942,2167650.684
2014-01-08,1105.9241666666665,1053.61625,2147981.467,2217861.694
2014-01-09,1198.5704166666667,1139.384166666667,2260019.427,2334485.467
2014-01-10,1154.8633333333332,1096.2704166666667,2243233.903000001,2318997.216
2014-01-11,1116.18125,1062.0779166666664,2158294.499,2231321.1
2014-01-12,1082.7887500000004,1032.1308333333334,2142783.4620000003,2213669.489
2014-01-13,1146.8724999999995,1094.3579166666666,2266477.521,2339266.480000001
2014-01-14,1073.4295833333333,1023.5004166666664,2282405.7159999995,2354958.9659999995
2014-01-15,1085.4633333333334,1030.6166666666666,2307304.6240000003,2380565.006
2014-01-16,,1019.71375,2326921.381,2400202.277000001
2014-01-17,1067.3225,1016.3387500000003,2329339.1240000003,2403514.151
2014-01-18,1075.2029166666666,1022.21875,2272175.106,2344264.736
2014-01-19,1011.3120833333336,961.1291666666668,2259620.421,2331018.7180000003
2014-01-20,1070.2795833333332,1015.9816666666668,,2467686.445
2014-01-21,1051.835,999.095,2419000.6820000005,2493550.83
2014-01-22,1095.2366666666671,1045.1804166666668,2434139.394,2509337.995
2014-01-23,1113.9025,1063.39375,2441194.1040000003,2516710.892999999
2014-01-24,1118.8545833333335,1067.0316666666663,2460773.149,2536766.809
2014-01-25,1117.3379166666666,1064.2037500000004,2378856.5330000003,2452660.326
2014-01-26,1032.3379166666666,983.6508333333336,2353186.4229999995,2425403.219
2014-01-27,1116.3891666666668,1064.5516666666665,,2551894.2210000004
2014-01-28,1136.21125,1082.0366666666666,2497191.587,2574068.4280000003
2014-01-29,1114.0120833333333,1058.5879166666664,2518053.4320000005,2594833.5620000004
2014-01-30,1144.3887500000003,1090.6625,2539295.2290000003,2616732.081
2014-01-31,1148.985,1095.7858333333334,2554707.474,2632978.265
2014-02-01,1136.3583333333331,,2444545.866,2520530.219
2014-02-02,1069.12625,1017.3974999999996,2396933.845,2472103.491
2014-02-03,1183.99375,1129.9254166666667,2506759.2630000003,2583697.043
2014-02-04,1175.7233333333334,1122.87375,2471832.1729999995,2545479.224
2014-02-05,1176.480833333333,1122.9712500000005,2451998.5930000003,2525843.096
2014-02-06,1165.194166666667,1110.4287500000005,2438617.3579999995,2513692.3150000004
2014-02-07,1169.8666666666668,1117.965416666667,2422421.5919999992,2495772.992
2014-02-08,1154.4379166666668,1103.966666666667,2320169.327,2389582.7830000003
2014-02-09,1079.6295833333336,1031.5208333333333,2278036.374,2347080.243
2014-02-10,1133.912916666667,1083.57,2376142.656000001,2448944.797
2014-02-11,1118.6641666666667,1068.1508333333334,2360625.574,2433494.544
2014-02-12,1156.4866666666671,1104.7483333333332,2351547.078,2423056.951
2014-02-13,1214.1062500000005,1161.0825,2341025.503,
2014-02-14,1128.345,1074.0437499999996,2319888.386,2390848.88
2014-02-15,1083.61,1034.8183333333334,2210492.2500000005,2277393.61
2014-02-16,1052.0954166666668,1005.66,2177209.081,2242640.643
2014-02-17,1201.1312499999997,1149.4354166666667,2292267.001,2362265.539
2014-02-18,1119.9004166666666,1072.9566666666667,2268532.237,2336813.3400000003
2014-02-19,1114.4462500000004,1067.06625,2260303.2290000003,2328679.1380000003
2014-02-20,1119.7779166666671,1072.2241666666666,2261391.302,2329750.812
2014-02-21,1114.7600000000002,1069.0183333333334,2273417.267,2340348.859000001
2014-02-22,1102.3079166666666,1057.081666666667,2197508.3290000004,2262842.654
2014-02-23,998.3104166666668,955.9783333333336,2172707.461,2239078.824
2014-02-24,1096.152916666667,1049.1025,2284466.576,2354545.035
2014-02-25,1138.0533333333335,1088.345833333333,2277399.251,2348240.6140000005
2014-02-26,1137.5595833333334,1087.4770833333332,2270835.379,2342092.918
2014-02-27,1111.8316666666665,1059.2979166666669,2260675.9200000004,2334547.995
2014-02-28,1098.2858333333336,1047.5229166666666,2250387.449,2322792.06
2014-03-01,1078.6470833333335,1030.2999999999995,2161538.9790000003,2231198.782
2014-03-02,996.3033333333336,950.6245833333336,2124927.398,2193990.3770000003
2014-03-03,1112.7020833333331,1060.1720833333334,2251989.933,2325182.008
2014-03-04,1093.5816666666665,1041.6741666666671,2241657.1670000004,2315552.768
2014-03-05,1085.9158333333337,1035.4924999999996,2232821.8100000005,2305248.2180000003
2014-03-06,1099.8125,1050.8770833333333,2223697.0470000003,2293883.750999999
2014-03-07,1123.7604166666667,,2200531.17,2271086.5670000003
2014-03-08,1027.36,982.8979166666664,2073383.665,2140724.9660000005
2014-03-09,1045.0166666666669,1002.4175,2059024.183,2123573.799
2014-03-10,1057.0441666666666,1011.2204166666668,2068464.284,2135228.95
2014-03-11,1132.3341666666663,1081.7920833333335,2177997.463,2248119.8040000005
2014-03-12,1136.871666666667,1085.3841666666667,,2236637.5650000004
2014-03-13,1122.3350000000005,1071.2525,2160306.938,2230639.945
2014-03-14,1123.2495833333332,1072.60375,2146847.898,2216676.011
2014-03-15,1073.2116666666664,1026.63125,2036574.149,2102838.222
2014-03-16,,991.1133333333332,2007822.938,2072296.9140000003
2014-03-17,,1074.4083333333335,2135908.93,2204648.87
2014-03-18,1128.7395833333337,1078.4275,2152713.049,2222464.435
2014-03-19,1140.0466666666666,1087.9641666666666,,2236237.366
2014-03-20,1121.2554166666666,1067.392916666667,2169268.5900000003,2241259.0430000005
2014-03-21,1124.82875,1070.8262500000003,2166695.475,2237802.641
2014-03-22,1116.9141666666665,1061.4783333333332,2051659.689,2118127.6049999995
2014-03-23,1067.1320833333332,1015.7704166666666,2016781.474,2081510.175
2014-03-24,1333.7345833333334,1271.0741666666663,2121009.212,2189483.677
2014-03-25,1166.4875,1107.3245833333333,2091387.848,2160217.522
2014-03-26,1106.17875,1046.9170833333335,2069704.9650000003,2139979.906
2014-03-27,,1070.4358333333334,2066294.812,2135316.345
2014-03-28,1052.94375,1003.8941666666664,2065274.425,2133942.48
2014-03-29,997.9008333333333,942.0791666666664,2000894.22,2067819.5190000003
2014-03-30,990.5408333333332,941.1991666666668,1983070.2730000005,2048873.062
2014-03-31,1135.46875,1078.3837500000004,2090624.427,2159020.279000001
2014-04-01,1130.9749999999997,1073.2954166666666,2093356.82,2161360.204
2014-04-02,1075.095833333333,1023.3583333333332,2098245.445,2166297.518
2014-04-03,1094.445,1041.92625,2109974.668,2179691.325
2014-04-04,1087.995,1033.1304166666666,2103660.461,2172224.0500000007
2014-04-05,1138.21875,1083.3108333333332,2024590.197,2088640.411
2014-04-06,1050.315,990.9220833333331,1978707.36,2041104.033
2014-04-07,1161.3787500000003,1106.52375,2081949.9920000003,2147813.066000001
2014-04-08,1134.7700000000002,1080.2200000000005,2088601.278,2156273.054
2014-04-09,1138.915416666667,1087.9462500000004,2080083.311,2148209.648
2014-04-10,1114.9191666666668,1063.5470833333334,2066698.129,2133833.061
2014-04-11,1056.89125,1002.7858333333336,2053999.892,2119281.3690000004
2014-04-12,1135.45,1080.4037500000004,1983019.378,2044772.768
2014-04-13,1023.6304166666667,978.1545833333334,,2004805.355
2014-04-14,1211.9158333333332,1157.7020833333331,2052854.118,2115053.299
2014-04-15,1139.9550000000004,1088.1545833333337,,2093524.971
2014-04-16,1174.725416666667,1122.9229166666669,2022012.7810000004,2085070.001
2014-04-17,1274.9683333333337,1220.7175,2022391.1609999991,
2014-04-18,1175.957916666667,1127.0495833333332,1992344.819,2054052.571
2014-04-19,1311.9662499999995,,1897899.241,
2014-04-20,1171.102083333333,1129.3245833333333,1846804.198,1901197.068
2014-04-21,1230.9141666666667,1181.3175,1950850.241,2009765.105
2014-04-22,1169.1354166666667,1121.8691666666666,1929439.5280000004,1987652.9030000009
2014-04-23,1247.8141666666668,1198.3766666666668,1913939.221,1972183.059
2014-04-24,1240.38375,1190.9987499999995,1929462.377,1988201.759
2014-04-25,1102.4329166666666,1057.5154166666666,1925752.998,1984955.6
2014-04-26,1128.5537500000005,1083.5754166666668,1859658.751,1915931.283
2014-04-27,975.8508333333334,,1808138.7800000005,1863496.219
2014-04-28,1231.3612499999997,1184.7924999999998,1905680.807,1962429.503
2014-04-29,1141.2979166666669,1096.985,1906355.106,1963911.776
2014-04-30,1208.7670833333334,1159.7404166666663,1872997.794,1928953.578
2014-05-01,1146.340416666667,1106.0912499999995,1738121.617,1790174.5640000002
2014-05-02,1180.1366666666668,1140.39875,1744986.6299999994,1796639.1599999997
2014-05-03,1257.2516666666668,1214.5333333333335,1750597.9189999998,1802685.8320000004
2014-05-04,1172.9391666666666,1132.7379166666667,1752738.2660000003,1804297.702
2014-05-05,1259.88,1212.1591666666666,1862888.2660000003,1918467.663
2014-05-06,1204.3391666666666,1154.819166666667,,1934753.51
2014-05-07,1161.29375,1111.3608333333334,1879471.704,1937810.159
2014-05-08,,1193.784583333333,1872088.838,1928512.32
2014-05-09,,1012.875,1742680.561,1795623.194
2014-05-10,1174.8212500000004,,1734695.642,1785181.772
2014-05-11,1101.5454166666666,1065.950833333333,1723813.622,1774686.351
2014-05-12,1248.3983333333333,1201.3625000000004,1836813.786,1893500.4950000003
2014-05-13,1123.2995833333332,1077.6295833333334,1830562.674,1888078.975
2014-05-14,1140.765,1093.7041666666669,1817853.233,1875152.696
2014-05-15,1176.6412500000004,1128.7045833333334,,1876480.415
2014-05-16,1187.6041666666663,1135.9025,1812833.727,1870668.313
2014-05-17,1128.5800000000004,1082.3625000000004,1725939.895,1781103.5159999996
2014-05-18,1016.8520833333336,975.5779166666664,1698330.4210000006,1753990.9210000003
2014-05-19,1140.0429166666668,1088.2458333333334,1809920.724,
2014-05-20,1148.648333333333,1098.7925,1816866.705,1876498.216
2014-05-21,1083.3479166666666,1036.7483333333332,1817935.739,1877741.6480000005
2014-05-22,1148.2816666666663,1098.442916666667,1829783.737,1890032.236
2014-05-23,1140.6545833333334,,1822677.884,1882381.455
2014-05-24,1224.6691666666666,1177.138333333333,,1803214.608
2014-05-25,1150.6195833333334,1109.2741666666666,1715900.26,1768896.387
2014-05-26,1235.1325,1171.8320833333337,1835092.966,1892441.476
2014-05-27,1220.3241666666663,1157.9779166666665,1847565.055,1906973.789
2014-05-28,1226.7045833333334,,1857228.8270000005,1915189.196
2014-05-29,1140.8874999999996,1092.72375,1838833.931,1897650.949
2014-05-30,1245.8508333333334,1195.0916666666667,,1892986.764
